Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,year,FundsSource,
33,Arizona State U.,32184000,4643000,87000,4172000,430000,1690000,769000,260000,100000,18370000,1663000,2016,DOD,
34,U. Central Florida,31751000,12103000,108000,517000,2000,13917000,1847000,145000,0,2781000,331000,2016,DOD,
35,Ohio State U.,31672000,1229000,111000,5300000,35000,3343000,196000,64000,537000,20742000,115000,2016,DOD,
36,"U. California, Santa Barbara",31346000,3076000,98000,627000,0,3042000,58000,0,0,24423000,22000,2016,DOD,
37,Cornell U.,30988000,4826000,91000,6928000,98000,6779000,229000,859000,0,11178000,0,2016,DOD,
38,U. Colorado Boulder,30380000,2151000,1736000,1552000,241000,10798000,1329000,0,65000,12329000,179000,2016,DOD,
39,Vanderbilt U.,29424000,0,1327000,9460000,8000,1291000,24000,0,0,17314000,0,2016,DOD,
40,New Mexico State U.,29063000,0,61000,3949000,0,4411000,0,0,0,20642000,0,2016,DOD,
41,California Institute of Technology,28592000,0,1000,336000,2392000,11903000,0,0,0,13960000,0,2016,DOD,
42,North Carolina State U.,28180000,3804000,692000,1254000,767000,1337000,409000,125000,7581000,11585000,626000,2016,DOD,
43,U. Florida,27814000,1342000,28000,8518000,261000,960000,206000,662000,0,15820000,17000,2016,DOD,
44,U. Wisconsin-Madison,26141000,1846000,726000,5670000,531000,7795000,1000,814000,485000,7939000,334000,2016,DOD,
45,Princeton U.,26103000,2532000,521000,1420000,1419000,5727000,0,583000,0,13799000,102000,2016,DOD,
46,"SUNY, U. Buffalo",25289000,102000,113000,3151000,55000,1410000,0,0,0,20458000,0,2016,DOD,
47,"U. Virginia, Charlottesville",24592000,3215000,213000,2696000,0,8113000,46000,235000,0,10074000,0,2016,DOD,
48,Wake Forest U.,23981000,39000,0,23776000,14000,152000,0,0,0,0,0,2016,DOD,
49,"U. California, San Francisco",21949000,0,0,20759000,0,1190000,0,0,0,0,0,2016,DOD,
50,Yale U.,21421000,1300000,100000,4555000,358000,9025000,451000,0,0,5049000,583000,2016,DOD,
51,"U. Minnesota, Twin Cities",20952000,1322000,0,7126000,823000,790000,118000,32000,0,10210000,531000,2016,DOD,
52,U. Arizona,20650000,1295000,478000,5006000,118000,1640000,335000,504000,0,11059000,215000,2016,DOD,
53,"U. Alabama, Birmingham",20177000,0,37000,5927000,3000,956000,1113000,0,0,12141000,0,2016,DOD,
54,U. Notre Dame,19713000,732000,0,696000,125000,689000,50000,107000,75000,17239000,0,2016,DOD,
55,Boston U.,19480000,38000,85000,9949000,387000,497000,152000,14000,0,7271000,1087000,2016,DOD,
56,Air Force Institute of Technology,19383000,1469000,1585000,0,457000,3636000,0,0,0,12100000,136000,2016,DOD,
57,Rice U.,19327000,4310000,0,621000,188000,3255000,51000,0,0,10902000,0,2016,DOD,
58,Mercer U.,19055000,0,0,0,0,0,0,0,0,19055000,0,2016,DOD,
59,U. Miami,18718000,0,5945000,10035000,0,616000,935000,0,0,1187000,0,2016,DOD,
60,U. Chicago,18668000,659000,0,3372000,732000,8693000,283000,874000,0,4055000,0,2016,DOD,
61,"U. Maryland, Baltimore",18509000,0,9000,18488000,0,0,0,0,0,12000,0,2016,DOD,
62,U. New Mexico,18439000,634000,0,3650000,0,2299000,163000,469000,0,11215000,9000,2016,DOD,
63,U. Utah,18295000,4469000,142000,4022000,546000,3607000,1563000,155000,0,3753000,38000,2016,DOD,
64,"U. California, Davis",17929000,1799000,674000,4022000,281000,1740000,0,161000,0,9227000,25000,2016,DOD,
65,U. Delaware,17661000,314000,1505000,4120000,570000,2195000,0,20000,0,8919000,18000,2016,DOD,
66,George Mason U.,17597000,6032000,565000,3464000,333000,1841000,1928000,673000,0,2636000,125000,2016,DOD,
67,"Texas A&M U., College Station and Health Science Center",17103000,552000,998000,3506000,754000,948000,96000,500000,0,9331000,418000,2016,DOD,
68,Wright State U.,17039000,386000,8000,279000,0,681000,689000,0,0,14996000,0,2016,DOD,
69,"Rutgers, State U. New Jersey, New Brunswick",15288000,393000,880000,2041000,850000,4083000,0,25000,0,7013000,3000,2016,DOD,
70,New Jersey Institute of Technology,14921000,1116000,122000,0,154000,1415000,0,6000,541000,11529000,38000,2016,DOD,
71,"U. North Carolina, Chapel Hill",14909000,1937000,592000,10215000,147000,757000,0,267000,0,781000,213000,2016,DOD,
72,"Indiana U., Bloomington",14792000,1798000,0,11618000,102000,151000,750000,340000,0,0,33000,2016,DOD,
73,Northeastern U.,13966000,4139000,140000,891000,2000,1237000,469000,402000,0,6469000,217000,2016,DOD,
74,"U. California, Irvine",13961000,717000,0,4112000,82000,1675000,0,337000,0,7038000,0,2016,DOD,
75,Case Western Reserve U.,13906000,0,0,4831000,0,1983000,0,73000,0,7016000,3000,2016,DOD,
76,U.S. Military Academy,13481000,1600000,114000,328000,1203000,18000,58000,1166000,0,7775000,1219000,2016,DOD,
77,Mississippi State U.,13439000,710000,31000,138000,0,362000,284000,0,109000,11805000,0,2016,DOD,
78,Stevens Institute of Technology,13180000,145000,2029000,0,0,286000,0,0,0,10703000,17000,2016,DOD,
79,U. Akron,13174000,0,0,144000,68000,0,0,0,0,12962000,0,2016,DOD,
80,Brown U.,12801000,1118000,114000,1726000,2966000,617000,0,317000,285000,5658000,0,2016,DOD,
81,Tufts U.,12641000,2387000,0,3282000,0,1804000,2009000,0,0,3159000,0,2016,DOD,
82,Florida State U.,12506000,373000,548000,214000,230000,686000,3337000,0,0,7060000,58000,2016,DOD,
83,Virginia Commonwealth U.,12501000,61000,178000,11712000,0,119000,0,0,0,430000,1000,2016,DOD,
84,Oregon State U.,12124000,1561000,4894000,2659000,0,86000,0,0,183000,2741000,0,2016,DOD,
85,"U. Massachusetts, Amherst",11783000,2849000,0,1736000,124000,2494000,313000,0,0,4267000,0,2016,DOD,
86,New York U.,11576000,2257000,0,3008000,2133000,1586000,1398000,54000,0,949000,191000,2016,DOD,
87,Michigan Technological U.,11227000,53000,689000,0,163000,86000,0,0,0,10236000,0,2016,DOD,
88,U. Iowa,10702000,238000,0,2968000,0,1562000,0,167000,0,5671000,96000,2016,DOD,
89,"Montana State U., Bozeman",10698000,148000,0,0,206000,1103000,0,0,0,4547000,4694000,2016,DOD,
90,U.S. Naval Academy,10432000,1374000,651000,0,427000,1441000,0,39000,0,6490000,10000,2016,DOD,
91,"U. Tennessee, Knoxville",10417000,394000,260000,576000,40000,176000,0,426000,102000,7620000,823000,2016,DOD,
92,Georgetown U.,10340000,638000,0,8656000,0,603000,0,443000,0,0,0,2016,DOD,
93,"Washington U., Saint Louis",10334000,762000,0,7203000,16000,672000,0,0,0,1667000,14000,2016,DOD,
94,Baylor C. of Medicine,10196000,0,0,10196000,0,0,0,0,0,0,0,2016,DOD,
95,"U. Texas Health Science Center, San Antonio",9720000,0,0,9720000,0,0,0,0,0,0,0,2016,DOD,
96,"SUNY, Polytechnic Institute",9555000,457000,0,84000,0,0,0,0,0,9014000,0,2016,DOD,
97,Michigan State U.,9550000,476000,108000,1634000,497000,1377000,230000,105000,268000,4566000,289000,2016,DOD,
98,U. Connecticut,9547000,224000,444000,2203000,0,608000,541000,0,0,5527000,0,2016,DOD,
99,Worcester Polytechnic Institute,9382000,846000,0,0,25000,80000,0,0,0,8310000,121000,2016,DOD,
100,Rensselaer Polytechnic Institute,9129000,1954000,1000,0,319000,1086000,1796000,0,0,3891000,82000,2016,DOD,
101,Iowa State U.,9126000,141000,0,986000,57000,2525000,0,0,179000,5238000,0,2016,DOD,
102,Emory U.,8903000,0,155000,7132000,0,1295000,28000,275000,0,0,18000,2016,DOD,
103,"U. Texas, Dallas",8724000,1271000,0,930000,5000,1464000,0,0,0,4964000,90000,2016,DOD,
104,Drexel U.,8456000,620000,0,960000,0,0,0,0,0,6876000,0,2016,DOD,
105,Temple U.,8439000,803000,0,4940000,37000,1860000,162000,0,0,562000,75000,2016,DOD,
106,"U. Missouri, Columbia",8219000,585000,174000,1297000,88000,2280000,1000,0,0,3794000,0,2016,DOD,
107,Dartmouth C.,8203000,915000,0,3783000,27000,368000,610000,2000,0,2498000,0,2016,DOD,
108,Oregon Health and Science U.,8128000,0,281000,6602000,0,0,0,0,624000,567000,54000,2016,DOD,
109,"U. Nebraska, Lincoln",7976000,315000,61000,498000,68000,1572000,3000,244000,0,5215000,0,2016,DOD,
110,"U. Maryland, Baltimore County",7952000,251000,270000,300000,181000,995000,0,0,0,5955000,0,2016,DOD,
111,U. Colorado Denver and Anschutz Medical Campus,7892000,0,0,7212000,0,0,219000,0,11000,144000,306000,2016,DOD,
112,"U. Massachusetts, Lowell",7822000,535000,0,158000,0,5397000,0,5000,0,1727000,0,2016,DOD,
113,"Oklahoma State U., Stillwater",7754000,75000,0,1600000,14000,183000,0,0,53000,5829000,0,2016,DOD,
114,U. Southern Mississippi,7734000,635000,1140000,50000,0,5575000,0,158000,0,176000,0,2016,DOD,
115,Washington State U.,7539000,418000,287000,1023000,4000,4387000,1000,130000,0,1289000,0,2016,DOD,
116,Albert Einstein C. of Medicine,7182000,0,0,7182000,0,0,0,0,0,0,0,2016,DOD,
117,"U. California, Riverside",7009000,704000,0,1615000,0,1110000,285000,0,0,3295000,0,2016,DOD,
118,U. Kansas,6958000,1295000,1296000,1725000,324000,120000,0,1298000,0,876000,24000,2016,DOD,
119,"U. Alaska, Fairbanks",6907000,226000,3319000,211000,0,3143000,0,0,0,8000,0,2016,DOD,
120,U. Cincinnati,6834000,32000,104000,4623000,186000,124000,117000,22000,0,1335000,291000,2016,DOD,
121,"U. Illinois, Chicago",6642000,625000,0,4396000,123000,139000,0,0,0,654000,705000,2016,DOD,
122,Rochester Institute of Technology,6555000,68000,0,0,50000,1657000,0,0,0,4780000,0,2016,DOD,
123,National Defense U.,6447000,0,0,0,0,0,50000,5670000,0,0,727000,2016,DOD,
124,"U. Massachusetts, Medical School",6387000,0,0,6387000,0,0,0,0,0,0,0,2016,DOD,
125,U. Rochester,6326000,214000,0,1797000,57000,2972000,185000,0,0,1101000,0,2016,DOD,
126,"U. Texas, San Antonio",6316000,2200000,27000,988000,0,555000,218000,0,0,2309000,19000,2016,DOD,
127,"U. Oklahoma, Norman and Health Science Center",6180000,0,731000,1252000,0,1188000,22000,181000,0,2429000,377000,2016,DOD,
128,U. Rhode Island,6172000,0,2588000,281000,0,1943000,0,0,5000,907000,448000,2016,DOD,
129,Rockefeller U.,6156000,0,225000,5931000,0,0,0,0,0,0,0,2016,DOD,
130,George Washington U.,6087000,496000,0,466000,0,325000,0,648000,2272000,1880000,0,2016,DOD,
131,"Louisiana State U., Baton Rouge",5943000,301000,215000,3933000,275000,298000,0,0,0,921000,0,2016,DOD,
132,"SUNY, Stony Brook U.",5762000,1045000,823000,793000,584000,1560000,0,0,0,957000,0,2016,DOD,
133,Old Dominion U.,5609000,0,0,436000,2428000,0,247000,0,0,2023000,475000,2016,DOD,
134,Icahn School of Medicine at Mt. Sinai,5527000,0,0,5527000,0,0,0,0,0,0,0,2016,DOD,
135,Texas Tech U.,5397000,33000,13000,448000,323000,67000,256000,0,0,4257000,0,2016,DOD,
136,Medical C. Wisconsin,5390000,0,0,5390000,0,0,0,0,0,0,0,2016,DOD,
137,Wayne State U.,5287000,93000,86000,2821000,292000,344000,0,0,0,1644000,7000,2016,DOD,
138,"U. South Florida, Tampa",5242000,513000,66000,2305000,103000,386000,352000,191000,0,695000,631000,2016,DOD,
139,U. Mississippi,5175000,41000,15000,2375000,19000,2398000,0,1000,0,161000,165000,2016,DOD,
140,U. Texas Medical Branch,5157000,0,0,5157000,0,0,0,0,0,0,0,2016,DOD,
141,"Auburn U., Auburn",5059000,0,35000,355000,13000,221000,25000,0,0,4410000,0,2016,DOD,
142,"U. Nebraska, Medical Center",5037000,0,0,5037000,0,0,0,0,0,0,0,2016,DOD,
143,Medical U. South Carolina,4981000,0,0,4981000,0,0,0,0,0,0,0,2016,DOD,
144,"U. South Carolina, Columbia",4923000,155000,31000,457000,617000,408000,0,178000,0,3077000,0,2016,DOD,
145,"Brigham Young U., Provo",4871000,128000,0,769000,152000,412000,162000,124000,0,1559000,1565000,2016,DOD,
146,"U. Montana, Missoula",4843000,0,0,377000,0,536000,0,3930000,0,0,0,2016,DOD,
147,U. Georgia,4838000,257000,192000,2206000,83000,1192000,168000,258000,0,482000,0,2016,DOD,
148,"U. Texas, El Paso",4714000,1291000,63000,0,0,228000,0,0,329000,2803000,0,2016,DOD,
149,"U. North Carolina, Charlotte",4650000,660000,0,48000,462000,2558000,0,441000,0,481000,0,2016,DOD,
150,Scripps Research Institute,4373000,0,0,4373000,0,0,0,0,0,0,0,2016,DOD,
151,Southern Methodist U.,4329000,398000,3289000,0,33000,0,0,0,0,392000,217000,2016,DOD,
152,Florida International U.,4328000,1105000,261000,849000,28000,163000,0,83000,0,1786000,53000,2016,DOD,
153,U. Houston,4319000,267000,0,224000,234000,309000,334000,0,0,2951000,0,2016,DOD,
154,Syracuse U.,4311000,276000,0,285000,15000,1577000,0,0,0,1919000,239000,2016,DOD,
155,Lehigh U.,4247000,55000,0,0,24000,0,0,0,0,4168000,0,2016,DOD,
156,"U. Texas, Arlington",4246000,379000,94000,0,4000,295000,0,0,0,3355000,119000,2016,DOD,
157,South Dakota School of Mines and Technology,4157000,0,0,0,63000,106000,0,0,0,3988000,0,2016,DOD,
158,Clemson U.,4125000,0,0,1249000,67000,198000,50000,0,0,2554000,7000,2016,DOD,
159,U. Texas Southwestern Medical Center,4033000,0,0,4033000,0,0,0,0,0,0,0,2016,DOD,
160,U. Louisville,3902000,165000,0,2671000,18000,147000,0,0,0,894000,7000,2016,DOD,
161,San Diego State U.,3792000,240000,440000,880000,120000,181000,0,0,0,1406000,525000,2016,DOD,
162,U. Texas M. D. Anderson Cancer Center,3745000,0,0,3370000,133000,130000,112000,0,0,0,0,2016,DOD,
163,Jackson State U.,3727000,164000,0,41000,0,485000,0,0,600000,2437000,0,2016,DOD,
164,Colorado School of Mines,3585000,0,113000,0,58000,1951000,0,0,0,1463000,0,2016,DOD,
165,U. Idaho,3523000,345000,83000,1815000,0,714000,0,0,0,566000,0,2016,DOD,
166,North Carolina Agricultural and Technical State U.,3409000,584000,0,0,0,0,0,0,0,2825000,0,2016,DOD,
167,U. Kentucky,3352000,18000,0,1946000,16000,137000,0,66000,40000,1125000,4000,2016,DOD,
168,C. of William and Mary and Virginia Institute of Marine Science,3315000,544000,617000,193000,0,862000,0,430000,0,0,669000,2016,DOD,
169,"U. Texas Health Science Center, Houston",3294000,0,0,3294000,0,0,0,0,0,0,0,2016,DOD,
170,Northern Arizona U.,3266000,0,119000,3126000,0,0,21000,0,0,0,0,2016,DOD,
171,Naval War C.,3210000,0,0,0,0,0,0,0,0,0,3210000,2016,DOD,
172,"U. Alabama, Tuscaloosa",2954000,133000,0,27000,0,34000,0,16000,0,2335000,409000,2016,DOD,
173,Boston C.,2952000,0,2792000,0,7000,153000,0,0,0,0,0,2016,DOD,
174,Florida Institute of Technology,2936000,1471000,0,54000,68000,125000,238000,0,0,980000,0,2016,DOD,
175,Alabama A&M U.,2910000,305000,183000,465000,39000,324000,37000,49000,0,1496000,12000,2016,DOD,
176,Kansas State U.,2865000,186000,0,498000,36000,687000,28000,52000,31000,1217000,130000,2016,DOD,
177,"SUNY, Upstate Medical U.",2832000,0,0,2832000,0,0,0,0,0,0,0,2016,DOD,
178,New Mexico Institute of Mining and Technology,2781000,1352000,0,0,0,0,0,0,0,1429000,0,2016,DOD,
179,Loma Linda U.,2764000,0,0,2764000,0,0,0,0,0,0,0,2016,DOD,
180,U. New Hampshire,2688000,93000,1016000,195000,18000,328000,0,200000,0,759000,79000,2016,DOD,
181,"California Polytechnic State U., San Luis Obispo",2606000,0,111000,9000,0,0,0,0,0,2479000,7000,2016,DOD,
182,"SUNY, Binghamton U.",2600000,214000,0,0,0,382000,0,0,0,2004000,0,2016,DOD,
183,U. Vermont,2577000,0,0,0,0,0,0,0,0,2577000,0,2016,DOD,
184,Georgia State U.,2576000,0,0,54000,113000,1650000,0,421000,0,0,338000,2016,DOD,
185,U. Memphis,2550000,330000,29000,8000,2000,0,1478000,382000,0,321000,0,2016,DOD,
186,Morgan State U.,2532000,0,0,0,279000,726000,0,0,0,1527000,0,2016,DOD,
187,Tulane U.,2506000,51000,514000,1668000,269000,0,0,4000,0,0,0,2016,DOD,
188,"U. North Texas, Denton",2478000,290000,0,92000,0,619000,353000,0,0,1073000,51000,2016,DOD,
189,"U. Tennessee, Health Science Center",2438000,0,0,2438000,0,0,0,0,0,0,0,2016,DOD,
190,Portland State U.,2397000,47000,7000,8000,189000,0,558000,51000,279000,1258000,0,2016,DOD,
191,Charles R. Drew U. of Medicine and Science,2345000,0,0,2345000,0,0,0,0,0,0,0,2016,DOD,
192,Howard U.,2129000,0,0,441000,118000,143000,0,126000,0,1301000,0,2016,DOD,
193,"CUNY, City C.",2104000,219000,0,0,155000,821000,0,0,0,881000,28000,2016,DOD,
194,Thomas Jefferson U.,2100000,0,0,2100000,0,0,0,0,0,0,0,2016,DOD,
195,Cleveland State U.,2095000,0,0,411000,49000,0,18000,0,0,1617000,0,2016,DOD,
196,"Southern Illinois U., Carbondale",2014000,22000,0,1763000,0,145000,0,0,0,84000,0,2016,DOD,
197,Illinois Institute of Technology,1989000,323000,0,16000,152000,333000,0,0,0,1139000,26000,2016,DOD,
198,Montana Tech of U. Montana,1973000,0,0,0,0,0,0,0,0,1973000,0,2016,DOD,
199,Florida Atlantic U.,1951000,0,0,794000,60000,50000,0,0,0,1047000,0,2016,DOD,
200,Nova Southeastern U.,1911000,0,492000,1193000,0,0,226000,0,0,0,0,2016,DOD,
201,"California State U., Northridge",1904000,0,0,0,397000,845000,0,41000,0,621000,0,2016,DOD,
202,Desert Research Institute,1866000,0,1866000,0,0,0,0,0,0,0,0,2016,DOD,
203,U. Colorado Colorado Springs,1849000,936000,136000,4000,0,0,142000,0,28000,483000,120000,2016,DOD,
204,"U. California, Santa Cruz",1765000,0,1051000,155000,30000,144000,0,79000,0,306000,0,2016,DOD,
205,Missouri U. of Science and Technology,1759000,232000,0,0,0,74000,0,0,0,1453000,0,2016,DOD,
206,Norfolk State U.,1711000,653000,0,0,0,660000,0,0,0,272000,126000,2016,DOD,
207,"U. Puerto Rico, Mayaguez",1656000,0,0,0,0,134000,0,0,0,1522000,0,2016,DOD,
208,U. Toledo,1615000,0,52000,259000,0,242000,0,0,0,1062000,0,2016,DOD,
209,U. Texas Rio Grande Valley,1613000,113000,0,0,219000,481000,0,0,0,800000,0,2016,DOD,
210,Clarkson U.,1596000,25000,0,187000,364000,0,0,0,0,1020000,0,2016,DOD,
211,"U. Nevada, Las Vegas",1554000,0,49000,0,0,154000,172000,0,0,1179000,0,2016,DOD,
212,Idaho State U.,1499000,0,0,12000,0,79000,0,0,4000,1404000,0,2016,DOD,
213,"SUNY, U. Albany",1482000,839000,360000,198000,0,0,0,45000,0,0,40000,2016,DOD,
214,U. New Haven,1472000,0,0,0,0,0,0,0,0,1472000,0,2016,DOD,
215,West Virginia U.,1460000,293000,0,383000,68000,0,0,0,0,679000,37000,2016,DOD,
216,Fisk U.,1454000,0,0,727000,0,727000,0,0,0,0,0,2016,DOD,
217,"U. Massachusetts, Dartmouth",1447000,74000,144000,0,61000,48000,0,0,0,1120000,0,2016,DOD,
218,Cold Spring Harbor Laboratory,1381000,0,0,1381000,0,0,0,0,0,0,0,2016,DOD,
219,New School,1377000,3000,0,0,0,0,1374000,0,0,0,0,2016,DOD,
220,Florida A&M U.,1332000,20000,0,530000,0,84000,0,0,0,698000,0,2016,DOD,
221,U. New Orleans,1297000,453000,0,0,0,480000,0,0,1000,362000,1000,2016,DOD,
222,"U. Nevada, Reno",1289000,448000,88000,402000,92000,156000,0,12000,0,91000,0,2016,DOD,
223,Chapman U.,1284000,0,0,373000,0,855000,0,0,0,0,56000,2016,DOD,
224,Texas State U.,1283000,48000,0,77000,15000,1058000,0,0,0,85000,0,2016,DOD,
225,"U. Arkansas, Fayetteville",1236000,0,17000,76000,0,583000,5000,0,0,555000,0,2016,DOD,
226,U. Oregon,1213000,65000,0,197000,0,158000,387000,339000,0,0,67000,2016,DOD,
227,"Palmer C. of Chiropractic, Davenport",1200000,0,0,1200000,0,0,0,0,0,0,0,2016,DOD,
228,Hampton U.,1139000,70000,403000,7000,0,559000,0,0,0,100000,0,2016,DOD,
229,Oakland U.,1132000,29000,0,0,0,348000,0,0,0,755000,0,2016,DOD,
230,Ohio U.,1114000,35000,0,66000,0,170000,0,0,0,843000,0,2016,DOD,
231,Tennessee State U.,1112000,149000,0,0,0,17000,0,0,0,931000,15000,2016,DOD,
232,Claremont Graduate U.,1092000,186000,0,215000,41000,0,15000,9000,0,623000,3000,2016,DOD,
233,Bryn Mawr C.,1090000,179000,0,0,3000,0,0,0,0,0,908000,2016,DOD,
234,U. Arkansas for Medical Sciences,1064000,0,0,1064000,0,0,0,0,0,0,0,2016,DOD,
235,"Loyola U., Chicago",1053000,0,0,1053000,0,0,0,0,0,0,0,2016,DOD,
236,Augusta U.,1051000,0,0,1051000,0,0,0,0,0,0,0,2016,DOD,
237,Delaware State U.,1043000,0,0,55000,448000,540000,0,0,0,0,0,2016,DOD,
238,Prairie View A&M U.,1006000,0,0,0,0,105000,0,0,0,901000,0,2016,DOD,
239,Fayetteville State U.,1004000,0,0,148000,0,616000,0,120000,0,0,120000,2016,DOD,
240,U. South Alabama,1000000,0,0,743000,0,58000,0,0,0,199000,0,2016,DOD,
241,Yeshiva U.,988000,0,0,988000,0,0,0,0,0,0,0,2016,DOD,
242,North Dakota State U.,981000,0,0,10000,12000,914000,0,0,0,45000,0,2016,DOD,
243,"U. North Carolina, Wilmington",971000,0,129000,632000,0,0,0,0,38000,172000,0,2016,DOD,
244,U. Tulsa,948000,918000,0,0,29000,0,0,0,0,1000,0,2016,DOD,
245,Catholic U. of America,935000,0,0,178000,0,0,670000,0,0,47000,40000,2016,DOD,
246,"SUNY, Downstate Medical Center",928000,0,0,928000,0,0,0,0,0,0,0,2016,DOD,
247,Tennessee Technological U.,911000,0,0,99000,0,0,0,0,0,759000,53000,2016,DOD,
248,"U. Missouri, Saint Louis",909000,0,0,909000,0,0,0,0,0,0,0,2016,DOD,
249,"U. Nebraska, Omaha",906000,574000,0,90000,0,133000,44000,0,0,0,65000,2016,DOD,
250,Creighton U.,896000,259000,0,304000,57000,222000,21000,22000,0,0,11000,2016,DOD,
251,"U. Puerto Rico, Rio Piedras",890000,0,0,0,135000,755000,0,0,0,0,0,2016,DOD,
252,"CUNY, Queens C.",841000,642000,0,0,0,199000,0,0,0,0,0,2016,DOD,
253,Brandeis U.,829000,382000,0,293000,0,44000,0,110000,0,0,0,2016,DOD,
254,Missouri State U.,794000,0,23000,14000,0,0,0,1000,0,756000,0,2016,DOD,
255,"U. Missouri, Kansas City",792000,0,0,91000,0,609000,32000,0,0,60000,0,2016,DOD,
256,"U. Massachusetts, Boston",789000,0,0,57000,0,307000,67000,0,0,358000,0,2016,DOD,
257,Morehouse C.,779000,0,0,0,0,0,0,0,779000,0,0,2016,DOD,
258,"Rutgers, State U. New Jersey, Newark",771000,0,434000,172000,143000,0,0,0,0,0,22000,2016,DOD,
259,"U. California, Merced",770000,0,0,0,0,650000,0,0,0,120000,0,2016,DOD,
259,Wichita State U.,770000,0,0,0,0,0,490000,0,0,280000,0,2016,DOD,
261,Bradley U.,765000,0,0,0,0,525000,0,0,0,240000,0,2016,DOD,
262,"CUNY, system office",734000,734000,0,0,0,0,0,0,0,0,0,2016,DOD,
262,Villanova U.,734000,0,0,0,0,0,0,0,0,734000,0,2016,DOD,
