Rank,Institution,All R&D expenditures,Computer and information sciences,"Geosciences, atmospheric sciences, and ocean sciences",Life sciences,Mathematics and statistics,Physical sciences,Psychology,Social sciences,Sciences nec,Engineering,All non-S&E fields,FundsSource,State,system,HBC,HHE,year
3,"U. California, San Francisco",105377000,0,0,101232000,0,4145000,0,0,0,0,0,AllOther,California,Public,No,No,2016
10,"U. California, San Francisco",78268000,0,0,72859000,0,5409000,0,0,0,0,0,Business,California,Public,No,No,2016
8,"U. California, San Francisco",602705000,0,0,570616000,0,32089000,0,0,0,0,0,FedGovFunds,California,Public,No,No,2016
4,"U. California, San Francisco",309461000,0,0,301129000,0,8332000,0,0,0,0,0,InstitutionalFunds,California,Public,No,No,2016
1,"U. California, San Francisco",163392000,0,0,157456000,0,5936000,0,0,0,0,0,Nonprofit,California,Public,No,No,2016
32,"U. California, San Francisco",35058000,0,0,34444000,0,614000,0,0,0,0,0,StateLocalGov,California,Public,No,No,2016
4,"U. California, San Diego",98576000,4325000,15358000,51897000,317000,6442000,1835000,2610000,217000,14400000,1175000,AllOther,California,Public,No,No,2016
9,"U. California, San Diego",79400000,1880000,3697000,57381000,24000,2817000,891000,148000,126000,12436000,0,Business,California,Public,No,No,2016
7,"U. California, San Diego",604298000,13227000,94236000,362621000,3655000,45240000,13311000,6606000,1600000,61840000,1962000,FedGovFunds,California,Public,No,No,2016
21,"U. California, San Diego",193927000,6795000,42779000,96828000,707000,7918000,2493000,5106000,9895000,17713000,3693000,InstitutionalFunds,California,Public,No,No,2016
13,"U. California, San Diego",79177000,1215000,4211000,61867000,121000,4635000,367000,1678000,2000,4498000,583000,Nonprofit,California,Public,No,No,2016
38,"U. California, San Diego",31739000,188000,6189000,19890000,184000,1117000,12000,125000,0,3759000,275000,StateLocalGov,California,Public,No,No,2016
5,Massachusetts Institute of Technology,94754000,1802000,3291000,17686000,21000,2369000,47000,6737000,956000,60249000,1596000,AllOther,Massachusetts,Private,No,No,2016
3,Massachusetts Institute of Technology,159451000,11969000,3756000,7414000,965000,5655000,0,1107000,13173000,73926000,41486000,Business,Massachusetts,Private,No,No,2016
16,Massachusetts Institute of Technology,503858000,43795000,37527000,68350000,6889000,112990000,1118000,3557000,2655000,224821000,2156000,FedGovFunds,Massachusetts,Private,No,No,2016
70,Massachusetts Institute of Technology,92076000,9992000,5599000,10779000,1013000,10305000,169000,1578000,2281000,44865000,5495000,InstitutionalFunds,Massachusetts,Private,No,No,2016
10,Massachusetts Institute of Technology,94808000,7197000,3995000,19960000,511000,5869000,1278000,13924000,2968000,23814000,15292000,Nonprofit,Massachusetts,Private,No,No,2016
249,Massachusetts Institute of Technology,1212000,0,25000,793000,0,0,0,0,123000,248000,23000,StateLocalGov,Massachusetts,Private,No,No,2016
6,U. Arizona,91372000,256000,4750000,61158000,29000,13002000,32000,2745000,3034000,5411000,955000,AllOther,Arizona,Public,No,Yes,2016
73,U. Arizona,13708000,4000,543000,7852000,0,774000,3000,88000,0,4230000,214000,Business,Arizona,Public,No,Yes,2016
46,U. Arizona,262989000,5922000,15085000,126999000,1870000,65684000,1246000,7595000,3390000,31652000,3546000,FedGovFunds,Arizona,Public,No,Yes,2016
27,U. Arizona,181650000,2112000,8667000,106965000,741000,25708000,667000,9511000,2855000,17429000,6995000,InstitutionalFunds,Arizona,Public,No,Yes,2016
44,U. Arizona,31724000,94000,174000,9114000,16000,18434000,336000,1787000,86000,1381000,302000,Nonprofit,Arizona,Public,No,Yes,2016
53,U. Arizona,23021000,0,2866000,10988000,0,1645000,140000,732000,3846000,2764000,40000,StateLocalGov,Arizona,Public,No,Yes,2016
7,"U. Pittsburgh, Pittsburgh",81740000,124000,12000,78012000,30000,3000,86000,171000,29000,2824000,449000,AllOther,Pennsylvania,Public,No,No,2016
67,"U. Pittsburgh, Pittsburgh",16701000,204000,199000,14737000,0,94000,0,0,0,1182000,285000,Business,Pennsylvania,Public,No,No,2016
10,"U. Pittsburgh, Pittsburgh",580650000,5019000,9080000,487976000,2065000,16587000,20715000,2905000,6520000,24414000,5369000,FedGovFunds,Pennsylvania,Public,No,No,2016
36,"U. Pittsburgh, Pittsburgh",154344000,3332000,2780000,115546000,992000,11720000,1505000,662000,4226000,11673000,1908000,InstitutionalFunds,Pennsylvania,Public,No,No,2016
26,"U. Pittsburgh, Pittsburgh",49098000,589000,381000,43896000,154000,731000,152000,205000,439000,1289000,1262000,Nonprofit,Pennsylvania,Public,No,No,2016
95,"U. Pittsburgh, Pittsburgh",7260000,0,61000,6956000,0,0,0,231000,0,0,12000,StateLocalGov,Pennsylvania,Public,No,No,2016
8,"U. California, Los Angeles",73290000,1697000,4991000,48541000,503000,5562000,785000,669000,145000,9551000,846000,AllOther,California,Public,No,No,2016
17,"U. California, Los Angeles",62200000,1116000,93000,49602000,6000,3234000,286000,102000,528000,6778000,455000,Business,California,Public,No,No,2016
18,"U. California, Los Angeles",487869000,8284000,19859000,326881000,9893000,43016000,12246000,8189000,9713000,41637000,8151000,FedGovFunds,California,Public,No,No,2016
16,"U. California, Los Angeles",215703000,1467000,3302000,146128000,539000,6405000,2161000,22549000,8539000,8587000,16026000,InstitutionalFunds,California,Public,No,No,2016
2,"U. California, Los Angeles",159309000,483000,2637000,123149000,466000,3059000,2791000,6505000,1009000,9340000,9870000,Nonprofit,California,Public,No,No,2016
29,"U. California, Los Angeles",39157000,967000,1468000,30666000,49000,633000,66000,2058000,14000,3069000,167000,StateLocalGov,California,Public,No,No,2016
9,U. Southern California,70225000,2139000,516000,50902000,112000,3282000,1161000,1059000,5000,7966000,3083000,AllOther,California,Private,No,No,2016
33,U. Southern California,34800000,1336000,88000,25421000,0,2048000,0,796000,0,4947000,164000,Business,California,Private,No,No,2016
24,U. Southern California,409516000,77573000,14939000,233209000,901000,10692000,6117000,15888000,709000,36169000,13319000,FedGovFunds,California,Private,No,No,2016
40,U. Southern California,134338000,6057000,2202000,82074000,336000,3747000,1627000,8306000,90000,14952000,14947000,InstitutionalFunds,California,Private,No,No,2016
28,U. Southern California,46116000,765000,1296000,24625000,115000,441000,1170000,6893000,157000,1429000,9225000,Nonprofit,California,Private,No,No,2016
92,U. Southern California,7871000,0,87000,6550000,0,0,62000,653000,0,420000,99000,StateLocalGov,California,Private,No,No,2016
10,"U. California, Berkeley",55843000,236000,636000,7581000,271000,23530000,484000,2108000,1389000,17117000,2491000,AllOther,California,Public,No,No,2016
15,"U. California, Berkeley",65831000,291000,437000,7852000,4000,6513000,184000,4015000,15323000,28771000,2441000,Business,California,Public,No,No,2016
33,"U. California, Berkeley",341807000,194000,6757000,104332000,5760000,102210000,6774000,9193000,32313000,71029000,3245000,FedGovFunds,California,Public,No,No,2016
35,"U. California, Berkeley",165356000,1623000,2030000,51483000,604000,12200000,2834000,22442000,24077000,29639000,18424000,InstitutionalFunds,California,Public,No,No,2016
8,"U. California, Berkeley",101163000,7555000,536000,31889000,857000,10554000,3345000,10608000,8276000,18000000,9543000,Nonprofit,California,Public,No,No,2016
24,"U. California, Berkeley",44255000,0,91000,9826000,0,3621000,182000,2273000,4144000,20493000,3625000,StateLocalGov,California,Public,No,No,2016
11,"U. California, Davis",50484000,861000,1232000,39791000,127000,1908000,223000,1353000,0,4312000,677000,AllOther,California,Public,No,No,2016
25,"U. California, Davis",46166000,778000,1989000,30141000,49000,1407000,21000,722000,0,10270000,789000,Business,California,Public,No,No,2016
34,"U. California, Davis",339209000,6919000,8177000,247298000,3581000,16591000,1450000,13825000,13000,36680000,4675000,FedGovFunds,California,Public,No,No,2016
20,"U. California, Davis",199806000,379000,10012000,136101000,332000,10871000,808000,10682000,7561000,18842000,4218000,InstitutionalFunds,California,Public,No,No,2016
33,"U. California, Davis",40834000,47000,1595000,30869000,145000,1027000,106000,2295000,0,3014000,1736000,Nonprofit,California,Public,No,No,2016
13,"U. California, Davis",65393000,40000,3856000,40965000,6000,352000,0,377000,0,16070000,3727000,StateLocalGov,California,Public,No,No,2016
12,"U. Washington, Seattle",49238000,1419000,2722000,37119000,134000,263000,148000,964000,0,5073000,1396000,AllOther,Washington,Public,No,No,2016
27,"U. Washington, Seattle",43396000,1553000,846000,33334000,34000,937000,0,0,0,6503000,189000,Business,Washington,Public,No,No,2016
2,"U. Washington, Seattle",946787000,13189000,100006000,606984000,5698000,47369000,8032000,12027000,0,99745000,53737000,FedGovFunds,Washington,Public,No,No,2016
58,"U. Washington, Seattle",105640000,3648000,7503000,62229000,186000,2861000,1683000,2627000,0,11655000,13248000,InstitutionalFunds,Washington,Public,No,No,2016
6,"U. Washington, Seattle",117531000,3589000,5160000,85826000,36000,3339000,759000,3497000,0,5683000,9642000,Nonprofit,Washington,Public,No,No,2016
68,"U. Washington, Seattle",15087000,69000,1695000,6723000,0,50000,8000,221000,158000,4469000,1694000,StateLocalGov,Washington,Public,No,No,2016
13,"U. Minnesota, Twin Cities",40597000,180000,8000,29150000,53000,901000,819000,186000,0,8953000,347000,AllOther,Minnesota,Public,No,No,2016
37,"U. Minnesota, Twin Cities",33275000,637000,2000,25700000,138000,1180000,279000,242000,0,5087000,10000,Business,Minnesota,Public,No,No,2016
19,"U. Minnesota, Twin Cities",469260000,11083000,7227000,308898000,6769000,29046000,19274000,19401000,0,60872000,6690000,FedGovFunds,Minnesota,Public,No,No,2016
6,"U. Minnesota, Twin Cities",286657000,4109000,3661000,190704000,2549000,8731000,5228000,11439000,0,31789000,28447000,InstitutionalFunds,Minnesota,Public,No,No,2016
84,"U. Minnesota, Twin Cities",14625000,118000,165000,8938000,295000,265000,844000,1854000,0,712000,1434000,Nonprofit,Minnesota,Public,No,No,2016
12,"U. Minnesota, Twin Cities",65767000,24000,2897000,47530000,0,446000,799000,2887000,0,10445000,739000,StateLocalGov,Minnesota,Public,No,No,2016
14,U. Texas Southwestern Medical Center,39882000,0,0,39882000,0,0,0,0,0,0,0,AllOther,Texas,Public,No,No,2016
57,U. Texas Southwestern Medical Center,20890000,0,0,20890000,0,0,0,0,0,0,0,Business,Texas,Public,No,No,2016
67,U. Texas Southwestern Medical Center,185263000,0,0,185263000,0,0,0,0,0,0,0,FedGovFunds,Texas,Public,No,No,2016
102,U. Texas Southwestern Medical Center,54687000,0,0,54687000,0,0,0,0,0,0,0,InstitutionalFunds,Texas,Public,No,No,2016
22,U. Texas Southwestern Medical Center,54338000,0,0,54338000,0,0,0,0,0,0,0,Nonprofit,Texas,Public,No,No,2016
5,U. Texas Southwestern Medical Center,87606000,0,0,87606000,0,0,0,0,0,0,0,StateLocalGov,Texas,Public,No,No,2016
15,U. Wisconsin-Madison,38212000,180000,630000,20244000,39000,1276000,105000,779000,1754000,4231000,8974000,AllOther,Wisconsin,Public (U. Wisconsin System),No,No,2016
48,U. Wisconsin-Madison,23930000,931000,615000,14580000,15000,1444000,0,33000,120000,5007000,1185000,Business,Wisconsin,Public (U. Wisconsin System),No,No,2016
13,U. Wisconsin-Madison,567132000,14968000,40990000,295170000,4547000,52918000,5219000,19403000,23310000,91722000,18885000,FedGovFunds,Wisconsin,Public (U. Wisconsin System),No,No,2016
3,U. Wisconsin-Madison,367883000,3242000,8116000,231298000,1278000,13290000,2046000,11453000,9236000,33147000,54777000,InstitutionalFunds,Wisconsin,Public (U. Wisconsin System),No,No,2016
9,U. Wisconsin-Madison,95700000,1504000,1379000,55259000,945000,4829000,1416000,7144000,2381000,7761000,13082000,Nonprofit,Wisconsin,Public (U. Wisconsin System),No,No,2016
14,U. Wisconsin-Madison,64823000,401000,2576000,38345000,126000,1773000,317000,2558000,3814000,5447000,9466000,StateLocalGov,Wisconsin,Public (U. Wisconsin System),No,No,2016
16,"U. Virginia, Charlottesville",36561000,282000,611000,25072000,60000,1609000,882000,900000,557000,2166000,4422000,AllOther,Virginia,Public,No,No,2016
55,"U. Virginia, Charlottesville",21470000,179000,62000,14890000,34000,1360000,203000,74000,75000,4561000,32000,Business,Virginia,Public,No,No,2016
58,"U. Virginia, Charlottesville",210980000,6227000,3060000,128868000,792000,23093000,7079000,1782000,1351000,26508000,12220000,FedGovFunds,Virginia,Public,No,No,2016
65,"U. Virginia, Charlottesville",95103000,1168000,750000,54371000,103000,5324000,1218000,5563000,5893000,13621000,7092000,InstitutionalFunds,Virginia,Public,No,No,2016
45,"U. Virginia, Charlottesville",28978000,0,415000,21203000,32000,370000,1279000,1371000,39000,880000,3389000,Nonprofit,Virginia,Public,No,No,2016
135,"U. Virginia, Charlottesville",4366000,30000,0,814000,0,0,58000,0,8000,1079000,2377000,StateLocalGov,Virginia,Public,No,No,2016
17,Cornell U.,32398000,2250000,247000,14073000,20000,2123000,522000,2438000,0,7794000,2931000,AllOther,New York,Private,No,No,2016
20,Cornell U.,50096000,806000,0,43399000,0,1723000,0,152000,0,3980000,36000,Business,New York,Private,No,No,2016
23,Cornell U.,430987000,13971000,3767000,255773000,2251000,81565000,4752000,13647000,0,52214000,3047000,FedGovFunds,New York,Private,No,No,2016
9,Cornell U.,252676000,4134000,589000,183410000,504000,16621000,3658000,14500000,0,20419000,8841000,InstitutionalFunds,New York,Private,No,No,2016
5,Cornell U.,127585000,512000,42000,116987000,62000,3289000,1293000,3250000,0,1679000,471000,Nonprofit,New York,Private,No,No,2016
9,Cornell U.,80457000,0,97000,62463000,151000,665000,2515000,9451000,0,2426000,2689000,StateLocalGov,New York,Private,No,No,2016
18,"U. California, Irvine",30558000,2527000,452000,16998000,626000,3714000,613000,1359000,0,3106000,1163000,AllOther,California,Public,No,Yes,2016
58,"U. California, Irvine",20830000,1845000,555000,12622000,0,2374000,3000,63000,0,3334000,34000,Business,California,Public,No,Yes,2016
70,"U. California, Irvine",177779000,5846000,6220000,103276000,2775000,23606000,2167000,2792000,0,23992000,7105000,FedGovFunds,California,Public,No,Yes,2016
87,"U. California, Irvine",65366000,2394000,1779000,33717000,729000,5027000,530000,3193000,0,12601000,5396000,InstitutionalFunds,California,Public,No,Yes,2016
49,"U. California, Irvine",26530000,110000,662000,13676000,215000,731000,386000,3036000,0,1843000,5871000,Nonprofit,California,Public,No,Yes,2016
52,"U. California, Irvine",24256000,0,294000,12500000,0,82000,37000,1031000,0,10144000,168000,StateLocalGov,California,Public,No,Yes,2016
19,U. Florida,30548000,250000,416000,17785000,39000,2830000,7000,436000,0,6200000,2585000,AllOther,Florida,Public (State U. Florida Board of Governors),No,No,2016
30,U. Florida,39263000,296000,45000,30632000,0,1719000,46000,19000,0,5921000,585000,Business,Florida,Public (State U. Florida Board of Governors),No,No,2016
39,U. Florida,307140000,5875000,9264000,206442000,916000,15314000,3855000,4142000,0,51459000,9873000,FedGovFunds,Florida,Public (State U. Florida Board of Governors),No,No,2016
10,U. Florida,242392000,11912000,2651000,171267000,378000,6056000,1200000,4616000,67000,19011000,25234000,InstitutionalFunds,Florida,Public (State U. Florida Board of Governors),No,No,2016
40,U. Florida,36736000,95000,135000,32059000,74000,532000,676000,352000,0,1634000,1179000,Nonprofit,Florida,Public (State U. Florida Board of Governors),No,No,2016
3,U. Florida,135215000,8000,3322000,103709000,78000,1775000,619000,5157000,331000,10323000,9893000,StateLocalGov,Florida,Public (State U. Florida Board of Governors),No,No,2016
20,Arizona State U.,26644000,258000,2035000,1192000,6000,714000,169000,6225000,6598000,2506000,6941000,AllOther,Arizona,Public,No,No,2016
66,Arizona State U.,17683000,806000,75000,2253000,30000,126000,68000,508000,2260000,10680000,877000,Business,Arizona,Public,No,No,2016
57,Arizona State U.,212396000,9664000,30385000,51423000,3143000,10142000,11636000,17544000,6164000,60179000,12116000,FedGovFunds,Arizona,Public,No,No,2016
18,Arizona State U.,205144000,3105000,10699000,27946000,2131000,7757000,4943000,40322000,24231000,45013000,38997000,InstitutionalFunds,Arizona,Public,No,No,2016
53,Arizona State U.,24893000,1915000,627000,4937000,84000,311000,883000,4174000,595000,4682000,6685000,Nonprofit,Arizona,Public,No,No,2016
39,Arizona State U.,31479000,1221000,397000,2187000,0,290000,247000,3019000,8634000,4272000,11212000,StateLocalGov,Arizona,Public,No,No,2016
21,Ohio State U.,26402000,145000,325000,21050000,115000,824000,170000,45000,1135000,1656000,937000,AllOther,Ohio,Public,No,No,2016
4,Ohio State U.,127731000,3086000,416000,76135000,68000,203000,0,4000,503000,44159000,3157000,Business,Ohio,Public,No,No,2016
20,Ohio State U.,454834000,10407000,7126000,263359000,5417000,28953000,5061000,7313000,20404000,70847000,35947000,FedGovFunds,Ohio,Public,No,No,2016
46,Ohio State U.,117549000,2230000,2372000,54721000,654000,5558000,1201000,3945000,10790000,21229000,14849000,InstitutionalFunds,Ohio,Public,No,No,2016
37,Ohio State U.,37447000,198000,261000,29432000,88000,849000,311000,1115000,271000,3068000,1854000,Nonprofit,Ohio,Public,No,No,2016
17,Ohio State U.,54501000,7046000,23000,29119000,0,72000,0,405000,778000,6631000,10427000,StateLocalGov,Ohio,Public,No,No,2016
22,U. Arkansas for Medical Sciences,25057000,0,0,25057000,0,0,0,0,0,0,0,AllOther,Arkansas,Public,No,No,2016
223,U. Arkansas for Medical Sciences,1210000,0,0,1210000,0,0,0,0,0,0,0,Business,Arkansas,Public,No,No,2016
152,U. Arkansas for Medical Sciences,48999000,0,0,48999000,0,0,0,0,0,0,0,FedGovFunds,Arkansas,Public,No,No,2016
113,U. Arkansas for Medical Sciences,44393000,0,0,44393000,0,0,0,0,0,0,0,InstitutionalFunds,Arkansas,Public,No,No,2016
117,U. Arkansas for Medical Sciences,5719000,0,0,5719000,0,0,0,0,0,0,0,StateLocalGov,Arkansas,Public,No,No,2016
23,"Texas A&M U., College Station and Health Science Center",24324000,603000,1063000,8536000,103000,2861000,88000,2565000,461000,6905000,1139000,AllOther,Texas,Public,No,Yes,2016
26,"Texas A&M U., College Station and Health Science Center",44707000,21000,1283000,13380000,0,670000,12000,145000,54000,25087000,4055000,Business,Texas,Public,No,Yes,2016
42,"Texas A&M U., College Station and Health Science Center",293551000,6876000,84670000,97188000,6269000,17689000,1143000,6042000,828000,60310000,12536000,FedGovFunds,Texas,Public,No,Yes,2016
8,"Texas A&M U., College Station and Health Science Center",260868000,10924000,17731000,92934000,2672000,22381000,2111000,9272000,3045000,90803000,8995000,InstitutionalFunds,Texas,Public,No,Yes,2016
19,"Texas A&M U., College Station and Health Science Center",65433000,439000,3963000,10541000,704000,9071000,90000,1309000,104000,37950000,1262000,Nonprofit,Texas,Public,No,Yes,2016
2,"Texas A&M U., College Station and Health Science Center",203835000,1986000,5183000,107276000,989000,3451000,0,9098000,1715000,69358000,4779000,StateLocalGov,Texas,Public,No,Yes,2016
24,California Institute of Technology,23920000,635000,2364000,2846000,1600000,5824000,0,0,3576000,4033000,3042000,AllOther,California,Private,No,No,2016
69,California Institute of Technology,14915000,223000,897000,1305000,0,2141000,0,0,0,10331000,18000,Business,California,Private,No,No,2016
45,California Institute of Technology,265206000,0,23918000,44444000,7840000,156093000,46000,0,0,28148000,4717000,FedGovFunds,California,Private,No,No,2016
147,California Institute of Technology,28916000,303000,1576000,3890000,335000,8932000,0,0,510000,7406000,5964000,InstitutionalFunds,California,Private,No,No,2016
39,California Institute of Technology,36741000,59000,2489000,13177000,34000,12014000,0,0,0,7853000,1115000,Nonprofit,California,Private,No,No,2016
236,California Institute of Technology,1362000,0,785000,17000,0,445000,0,0,0,115000,0,StateLocalGov,California,Private,No,No,2016
25,Columbia U. in the City of New York,23508000,151000,5153000,10370000,0,766000,0,905000,0,1284000,4879000,AllOther,New York,Private,No,No,2016
18,Columbia U. in the City of New York,53861000,1095000,719000,47951000,0,216000,24000,304000,0,3426000,126000,Business,New York,Private,No,No,2016
9,Columbia U. in the City of New York,600457000,17116000,72326000,400867000,2882000,33077000,3263000,3912000,0,52135000,14879000,FedGovFunds,New York,Private,No,No,2016
84,Columbia U. in the City of New York,70264000,736000,3087000,48950000,182000,2058000,226000,1980000,0,3429000,9616000,InstitutionalFunds,New York,Private,No,No,2016
12,Columbia U. in the City of New York,82667000,749000,2812000,58204000,459000,1401000,350000,2978000,0,2390000,13324000,Nonprofit,New York,Private,No,No,2016
108,Columbia U. in the City of New York,6555000,244000,192000,4409000,0,0,0,0,0,932000,778000,StateLocalGov,New York,Private,No,No,2016
26,Harvard U.,19961000,0,82000,5487000,62000,433000,25000,6254000,5391000,360000,1867000,AllOther,Massachusetts,Private,No,No,2016
19,Harvard U.,50651000,628000,2736000,32071000,100000,5026000,12000,2610000,4819000,2317000,332000,Business,Massachusetts,Private,No,No,2016
14,Harvard U.,558611000,8090000,24391000,367866000,8433000,51548000,3726000,15823000,34676000,34986000,9072000,FedGovFunds,Massachusetts,Private,No,No,2016
5,Harvard U.,306914000,1800000,5350000,135411000,2388000,14402000,3014000,47710000,28060000,30430000,38349000,InstitutionalFunds,Massachusetts,Private,No,No,2016
4,Harvard U.,138525000,711000,4767000,57127000,883000,11182000,811000,27816000,17540000,2013000,15675000,Nonprofit,Massachusetts,Private,No,No,2016
176,Harvard U.,2591000,0,0,1634000,0,52000,0,10000,862000,25000,8000,StateLocalGov,Massachusetts,Private,No,No,2016
27,"U. North Carolina, Chapel Hill",19088000,49000,772000,13842000,2000,539000,550000,765000,10000,1382000,1177000,AllOther,North Carolina,Public (U. North Carolina),No,No,2016
36,"U. North Carolina, Chapel Hill",33748000,215000,393000,30395000,0,1575000,52000,304000,0,315000,499000,Business,North Carolina,Public (U. North Carolina),No,No,2016
6,"U. North Carolina, Chapel Hill",632426000,14117000,10565000,455663000,2724000,21223000,28460000,73124000,69000,18186000,8295000,FedGovFunds,North Carolina,Public (U. North Carolina),No,No,2016
7,"U. North Carolina, Chapel Hill",263316000,1089000,4184000,206673000,627000,11090000,11256000,10687000,62000,5607000,12041000,InstitutionalFunds,North Carolina,Public (U. North Carolina),No,No,2016
18,"U. North Carolina, Chapel Hill",67144000,518000,693000,47090000,199000,1097000,2992000,8617000,0,2367000,3571000,Nonprofit,North Carolina,Public (U. North Carolina),No,No,2016
41,"U. North Carolina, Chapel Hill",29616000,0,1102000,11621000,0,0,7734000,813000,0,1719000,6627000,StateLocalGov,North Carolina,Public (U. North Carolina),No,No,2016
28,"U. Illinois, Urbana-Champaign",18759000,980000,102000,6801000,119000,1144000,458000,150000,13000,7902000,1090000,AllOther,Illinois,Public,No,No,2016
29,"U. Illinois, Urbana-Champaign",39355000,5193000,227000,6763000,37000,3227000,2995000,62000,15000,18572000,2264000,Business,Illinois,Public,No,No,2016
35,"U. Illinois, Urbana-Champaign",335056000,67186000,6266000,79454000,3145000,47197000,10387000,2891000,325000,103852000,14353000,FedGovFunds,Illinois,Public,No,No,2016
29,"U. Illinois, Urbana-Champaign",177548000,19955000,512000,78131000,965000,16201000,4704000,5786000,4130000,33800000,13364000,InstitutionalFunds,Illinois,Public,No,No,2016
58,"U. Illinois, Urbana-Champaign",22257000,1304000,100000,10214000,208000,3653000,1030000,402000,0,2182000,3164000,Nonprofit,Illinois,Public,No,No,2016
37,"U. Illinois, Urbana-Champaign",32205000,104000,4000,21234000,0,91000,1390000,1503000,0,4198000,3681000,StateLocalGov,Illinois,Public,No,No,2016
29,"U. California, Santa Barbara",18214000,847000,2191000,1529000,0,3077000,149000,2817000,0,7203000,401000,AllOther,California,Public,No,Yes,2016
52,"U. California, Santa Barbara",22661000,1529000,2861000,1709000,0,2376000,850000,79000,0,13214000,43000,Business,California,Public,No,Yes,2016
96,"U. California, Santa Barbara",116775000,7541000,13722000,11905000,1063000,19223000,3203000,6103000,0,52124000,1891000,FedGovFunds,California,Public,No,Yes,2016
112,"U. California, Santa Barbara",45139000,1708000,8682000,4535000,105000,5865000,545000,960000,0,16589000,6150000,InstitutionalFunds,California,Public,No,Yes,2016
65,"U. California, Santa Barbara",20350000,107000,2589000,7691000,73000,3093000,601000,401000,0,4795000,1000000,Nonprofit,California,Public,No,Yes,2016
99,"U. California, Santa Barbara",7000000,0,1967000,2046000,0,403000,0,736000,0,1101000,747000,StateLocalGov,California,Public,No,Yes,2016
30,U. Louisville,18196000,0,0,15769000,0,21000,6000,531000,22000,1065000,782000,AllOther,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
112,U. Louisville,7688000,0,0,6870000,0,0,0,8000,0,773000,37000,Business,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
125,U. Louisville,71760000,233000,125000,60852000,124000,1078000,665000,187000,0,5763000,2733000,FedGovFunds,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
90,U. Louisville,65078000,47000,139000,50207000,12000,403000,682000,160000,1956000,7071000,4401000,InstitutionalFunds,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
108,U. Louisville,8330000,0,0,6206000,0,81000,246000,125000,0,1425000,247000,Nonprofit,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
76,U. Louisville,11402000,0,0,6976000,0,162000,205000,160000,0,3008000,891000,StateLocalGov,Kentucky,Public (Kentucky Council on Postsecondary Education),No,No,2016
31,Michigan State U.,17292000,158000,60000,11084000,55000,347000,630000,368000,991000,1281000,2318000,AllOther,Michigan,Public,No,No,2016
